address, balance_nyzo, in_cycle, in_queue, drop_rules, drop_amount, dropped_amount, trx_id, height
0001d4c91b63fcd44a7b96e2bc4fc4e56d6817b8db4350d59f90dac6d04c515d,15663500,1,0,0+2+,175000000,175000000,tx__J080005ZqhCwK00000000001007kQhKA_dhavXszM4_4XnTF5ZAsgT3mEX3rPK1ckmS000000cFdozSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc302cR9~C5nI6CDnvU54Nb.CB1BxhBBXmt0P-8hX54rC0V5q6J2pL7XnfEjQynanZImLyGn.3B.X2GzBv.ZKDykcKYFt0BZ0,13241709
00130e127e641b857a6a6ecf741f8a308888ca926c733ee1387c387e6ed9272e,3128026,1,0,2+,50000000,50000000,tx__IN80005Zqi44n0000000000101ce4EXB6WmYrDZfu1~ac8z8QG9JtRZye7NWwDZq9QW000000cFdozSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5mhkeBq1im94kB.geAkNbA0Nc30Nc6AHDxm0z2v17rwVgg93-VduebwRGSywoPtnrJbdfN970PoPoSm42G~VsQrSAoiQJBdIYV1AL_4pTDk-7.UFdxjbCYXg,13241781
00254182a2daec34fb860f04ba4201caab4eda25f1d813aaa7400ff6a18227e6,25919647,1,0,0+2+,175000000,175000000,tx__J080005ZqnFH80000000000102m1xHbrZ3jZyx-4LB81QHKeUzoPU1eHGS0f.H629~p000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc318sHPNL3acKuD9wuYP.85EW4w~HJ2gAB.2ph6_KHhW1q585Z75qi60sPjGUYTzvMwQwiUj2PZ~D_P~VvGK3I88ITher4U6,13242465
003d5d61c1293637561f4be4935fefb2773dc3f4d5982a2d0a9b1b408510c103,49997329,0,0,0+,125000000,125000000,tx__J080005ZqhVKL0000000000103Tupt4GdAun7SMBBT_MJEt.N_jmD2FK2GJsg8kgNgc000000cFdozSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc30PcI_~rr9iLwfL7gurK~.Cpzxwo~BMfhaijWfszy4WiWHgdPjLhcVp0XPA0gZ6LbtDWF6Uv12yyz2xLS0ePqB3~EGegg2m,13241752
0050a667fa52f0e8272a4a35197aed2cefd898d75f14d50fef519c41248483ae,4388887027,1,0,0+2+,175000000,175000000,tx__J080005ZqjG_000000000001052Dq_Gi-exEaBFT6oIKbe_pDduw5dkfZT6tgii4xYW000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc32fIYtZY~GRFmY8bCBIf1c-XkFLsYAe~eA1Us5ImCnvIqecS49f3ucU4P4ctULcM~gU~36oabbc58P4Ffa7a2N50EwTwhGD,13242019
006082fe735bbff5b694e4fda0122215ebef0ca96862208824e8b64640c99e6d,61242883,0,0,0+,125000000,125000000,tx__J080005ZqkV3S000000000010622_EdsM_nUCej.F18z5vMM3aCFpz289ezUhB39EDS000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc30gifJJXpLPbJmjSyD8vH.kBGb7UfKHCBzjrFjN7_A~7pa5NKQ4t1Z_YXa-rWS2M4NpxbWmMmztmptXf5Dkcr8eY6NTE.Z6,13242200
006145a6da91f7130218b75feeae65dd58eb8843a3c7bfecf9d4db4f435764e5,11391072,0,0,0+,125000000,125000000,tx__J080005Zqj0at000000000010655GKHh.Pc26buwZHXCVmAIz4eAPZ_J~ujsjSdoqek000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc332UEgwiX.oEhnWSEqs29ZVdiuh8FmyTyCCd12_DeJGK3D5eJN3rCwx2EX4iZL3x4AkU8LafxeAYPTZnGeyoQJ6Nntvxv-9,13241921
0069ce91a06c7ed4f7a9597c2b223641a94882b5f4be112291f0f9a80230baa7,10909329,0,0,0+,125000000,125000000,tx__J080005Zr8L_d0000000000106EeBr1JwKjVHmC-aQ8UgrC8xIoSMy4zBw3XH08NLHt000000cFKE2Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33qPi65P-wTSQTS_j7iQ_BmWDWRjiVi.MQpD6yWCw~wXaf2-WUFCKgXEIUV1vBmibNgPPbGYJw36hbEQENu3u8catZda-aZ,13249970
0069d323d1944e7b48c8fb78f477cd05bcdcc08b7a336abfa4dcc0fe5531b2a4,11775815,0,0,0+,125000000,125000000,tx__J080005Zqg2S50000000000106Ej8.6kjEK8QfKW.7wd1sRtN8KYcUH_GdR0_CkPJHg000000cFcriSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc32HicUBpZ_30SHnQ07fW_3nM-PPsX7r1V0T.t~KZ9iwAsbZ.PRHtD67Fk2RcobyAG7QDVXxeXGh8T~UC7F2Knc82FvST5c3,13241478
007d1e8c9668a1078ce0691b0b6901739d9e02ba9484d23781abf57cf72ca619,658981079,0,0,0+,125000000,125000000,tx__J080005ZqgUfW0000000000107SvA9qFFgvcW6Bs2UB1tXUv0IHkyd8VxrMTwftJGyB000000cFcH2Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc31c_PApJd_JMEngNrhz58t00W4RUzfCxeWIWuzdo8fAvsV3Qa8WpjCJQjbJmH.WCiLBvVNj6BGRBmyPzXqx-RpesNiD4bt0,13241598
007deef939e73f2e59ab37adae07d7cf5657b82613a740637b6a86e6a80374f6,21829849,0,0,0+,125000000,125000000,tx__J080005Zqjktw0000000000107VL~jEEfQXqHRvKIxwoRTqoL2pjGS1AvUH6XHx3ufp000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc322yHUswz6yvy-CfUzUTznGL3thQLGnyqk87dd3z1rPErdWvqKFZMSSAuHgq1AteKxzFtZd8V9Fi_zQEX2N4dF5uvemIcqv,13241969
0086e0e0c0d861cedf6906b915c9c8dd08b2b1e408e3bea0ce7d7657f902e445,592233704,1,0,0+2+,175000000,175000000,tx__J080005ZqgTw30000000000108sxWc3pptZwrgrX5tE8VgzQJvg8WZYxRETUm_B2X4k000000cFcH2Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc30Q5ZW.S-n9x74M48J_bU1I~fy8x6jiB55xRbEME1B9WmBqK7g~LBzTKtPKSE1qoi1vF9AfktEWrFMiC.JUbst8W76aamoA,13241597
00a4870ade586ca1503569803a9d11df009d7d6ff0883dc7d64f0e25a8832682,461895104,1,0,0+2+,175000000,175000000,tx__J080005ZqbVk-000000000010ai72KXpsa5gdnD0eGShVN2uwn_Nz3V7TB-e9rz39F8000000cFa02Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33oKKNxrDDFSaMyRor158C~J5TMgMYSjvhrI65pthAZK87yRNKQdj0S5hQJJKdZqTI8IqXVeXoMhGeU6cf67t47u49KR_Cq,13240852
00a544f91b75ba130adcd0dc92f35f55e140c30fec4a411a5c0f0d54bc75b5ad,48163293,0,0,0+,125000000,125000000,tx__J080005ZqoZWJ000000000010am4~hKTLycaVd3tBMdwmv50NN_JiB4ro0-dmbPTKrS000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33B045wSympkXtE7mpAtNcXcoIEppi-ytnIr.K-nLeCaN655h.Se4NeZw3X7-8MxzfSsn1fW9J30QNmEAY3pzk6bapctr9D,13242660
00a8a25e7e3291415f8d7fab39823dd6078c9056eebec80dc285d44d4edc1a78,145536340,0,0,0+,125000000,125000000,tx__J080005Zqg1Vz000000000010azzoEWQBk5wAo~Iep8.TxvcB5sLMJxdNFokjkZt6Ex000000cFcriSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc31Z19xy4bJ5CeptFQjeZxerI2-wZCyeRjgDhexHveVRk54~LSxR8AqaE2XkbnPsyEPLrofzLLqMxUKsH1mhqE87gFwVZLJH,13241476
00ca5fb1379d560cfc43c1868bd6fc62712e14247ca111dd38b5b7a97c50648c,818587888,1,0,0+2+,175000000,175000000,tx__J080005ZqoSIo000000000010cGwJjvumxR-g-66z.s-pE4L52h-Fh7uebnVHoPgq8N000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33MjKF8LdeRmN.k2GayqU8Z-RwKSMTkv~f9z7G2-C4LiwUI~PZHICbCkcAxnwNIvSV4ZzmQBeHPqR3_56MqHH48viIk0pZ~,13242643
00d28c474d5bac764ba53517ed306cff32e411464198d0e1a05927e167a7a509,68709060,1,0,0+2+,175000000,175000000,tx__J080005ZqhCg5000000000010dachSTsI7qbGjkoZj1J_RbB4kq1Dd3yF5BEWnvEGgB000000cFdozSp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33IcIdzksj8ARvMRg2PvxQSkxrWt-zzh4q.3PmXgx8.hWa5gmyp8PPr6aBw-PAFxpIz_eDIJsq4F_FqP1NjgTNf530~vWUV,13241708
00d350f70bc6e4b8be80b1c93ceca5cdecd6100fa0200c956b3fe503d97148db,10972500,0,0,0+,125000000,125000000,tx__J080005Zqj0Zh000000000010ddg.NM6Xbz~xb79feQCRvRn40~x80QmrR_C0.CPidJ000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4QdiWNc30Nc33w4ebkKPPLXEdYP72GnjLoMdTbTS7-jxeBEvPnph7NUrqmQUct9suFnyTLdhNkqW5d2VibiuFW8ohaPoDWALNb7nZGLNtZ,13241923
00e778a87fc797044f5907e08e3ea9b4d077f4e624567af3afe0d7143a996541,69490393,1,0,0+2+,175000000,175000000,tx__J080005ZqkNj0000000000010euWH7_7CNhfngwxAAYGKd1V.epBmEIRI~3o53Hqqk4000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc32SGwuYzSBp4HXAL80jY9d-YxSjZwrXcM6NdzpzFyFrbEzDDcxrUf_RI3RkkxSbMiSxfxg5~xpjEYZ_.1HnIiB3E9_FVgI3,13242184
00fc7686cef9de79286dbc06b8480e1af9541c3b13b9cfbd2ef178800bee0a24,396634365,1,0,0+2+,175000000,175000000,tx__J080005Zqj37X000000000010fPUyJZXVEBFssN6L4xe6MCk73JjLt~.bM5Wx0ML2zg000000cFe92Sp8jn8TBZmc_CqJ.V0jhsV3kbzqC2Mf17aADEg6bVe5ChkeBq1im94kB.geA4VdiWNc30Nc33Po_TvH~ZX4vbnW-DH1Vj6Q8wBCL0T0PvxsXNw_CogbSaRy71tPWGqXzLva9Er-7W3_mRMyI0HL0PH5oNmW.xaPHgtqD9J,13241928
